Customer_ID,Age,Gender,City,Education,Employment_Status,Experience_Years,Annual_Income,Monthly_Spending,Satisfaction_Score,Online_Hours_Per_Week,Purchased
C0095,35.0,Female,Multan,High School,Student,20.0,563000.0,40900.0,6.0,28.7,No
C0001,56.0,Male,Karachi,Bachelor,Employed,28.0,1348000.0,39000.0,3.0,8.0,No
C0125,58.0,Male,Peshawar,Master,Employed,19.0,550000.0,5000.0,4.0,26.9,No
C0250,21.0,Male,Multan,Bachelor,Employed,23.0,885000.0,41900.0,4.0,10.0,Yes
C0374,22.0,Female,Peshawar,Bachelor,Employed,26.0,687000.0,41300.0,3.0,9.9,Yes
C0057,70.0,Male,Lahore,High School,Employed,27.0,856000.0,32600.0,8.0,11.5,No
C0311,36.0,Female,Peshawar,High School,Self-employed,11.0,492000.0,13200.0,2.0,23.9,No
C0083,53.0,Male,Peshawar,Master,Employed,29.0,1412000.0,5000.0,3.0,27.3,Yes
C0323,53.0,Female,Lahore,High School,Unemployed,22.0,1241000.0,45200.0,1.0,8.6,No
C0266,,Female,Karachi,Master,Self-employed,20.0,1003000.0,40300.0,10.0,23.5,Yes
C0353,65.0,Female,Karachi,Bachelor,Employed,10.0,823000.0,22500.0,1.0,23.1,Yes
C0141,44.0,Male,Peshawar,Bachelor,Employed,11.0,579000.0,13300.0,6.0,10.2,No
C0115,28.0,Female,Islamabad,Bachelor,Employed,8.0,901000.0,27900.0,,23.5,Yes
C0102,58.0,Female,Multan,Master,Employed,12.0,10000000.0,37300.0,2.0,32.0,Yes
C0308,26.0,Female,Karachi,Bachelor,Student,21.0,,48800.0,10.0,14.4,Yes
C0026,19.0,Male,Lahor,Master,Student,11.0,1005000.0,32700.0,1.0,19.7,No
C0367,,Female,Multan,Master,Employed,16.0,492000.0,43000.0,9.0,17.5,No
C0174,60.0,Other,Peshawar,Master,Self-employed,30.0,823000.0,27300.0,2.0,12.4,No
C0127,24.0,Male,Lahore,PhD,Employed,19.0,1102000.0,56300.0,9.0,7.5,Yes
C0146,150.0,Male,Multan,Master,Employed,12.0,910000.0,32800.0,6.0,22.3,No
C0023,61.0,Male,Islamabad,High School,Employed,12.0,1071000.0,43300.0,2.0,19.2,Yes
C0117,34.0,Male,Islamabad,High School,Self-employed,7.0,548000.0,38900.0,9.0,17.5,No
C0047,38.0,Other,Lahore,Master,Unemployed,25.0,602000.0,25400.0,1.0,27.2,No
C0392,46.0,Male,Lahore,High School,Employed,3.0,818000.0,29600.0,1.0,34.6,Yes
C0341,50.0,Male,Karachi,High School,Unemployed,16.0,480000.0,52900.0,1.0,17.6,Yes
C0074,23.0,Female,Lahore,Bachelor,Self-employed,7.0,1808000.0,32100.0,4.0,18.5,No
C0073,19.0,Female,Islamabad,Master,Employed,7.0,796000.0,47400.0,10.0,13.7,Yes
C0040,68.0,Male,Multan,Bachelor,Employed,2.0,1195000.0,,9.0,12.5,Yes
C0267,46.0,Female,Islamabad,Master,Employed,21.0,376000.0,30300.0,10.0,16.9,Yes
C0058,19.0,Male,Karachi,Bachelor,Employed,18.0,632000.0,23800.0,2.0,13.1,No
C0169,54.0,Female,Lahore,Master,Student,20.0,1182000.0,26800.0,1.0,20.7,Yes
C0031,61.0,Male,Lahore,High School,Self-employed,12.0,938000.0,44800.0,6.0,32.9,Yes
C0154,44.0,Male,Peshawar,Bachelor,Self-employed,6.0,1432000.0,33900.0,10.0,20.1,Yes
C0332,46.0,Male,Multan,Master,Self-employed,27.0,1084000.0,35500.0,3.0,7.8,Yes
C0193,47.0,Female,Lahore,Bachelor,Self-employed,29.0,1090000.0,29700.0,3.0,28.8,Yes
C0400,38.0,Female,Lahore,Bachelor,Employed,2.0,733000.0,41300.0,3.0,15.6,Yes
C0105,62.0,Female,Karachi,Bachelor,Employed,15.0,794000.0,35000.0,6.0,7.2,Yes
C0032,42.0,Female,Islamabad,Bachelor,Student,7.0,443000.0,37900.0,1.0,26.9,No
C0276,49.0,Male,Islamabad,High School,Employed,24.0,634000.0,34000.0,7.0,25.1,Yes
C0224,69.0,Female,Multan,High School,Employed,8.0,597000.0,19800.0,6.0,26.4,Yes
C0335,35.0,Male,Islamabad,Bachelor,Student,10.0,681000.0,45200.0,2.0,11.4,No
C0077,46.0,Female,Peshawar,PhD,Employed,1.0,722000.0,44500.0,1.0,23.4,No
C0181,39.0,Female,Peshawar,Master,Student,21.0,1072000.0,34700.0,2.0,9.9,Yes
C0142,52.0,Male,Multan,High School,Unemployed,8.0,947000.0,5000.0,6.0,42.5,No
C0006,25.0,Female,Lahore,High School,Employed,27.0,941000.0,34600.0,4.0,15.7,Yes
C0046,24.0,Male,Peshawar,PhD,Employed,7.0,740000.0,42700.0,4.0,14.2,Yes
C0091,57.0,Male,Multan,Bachelor,Student,29.0,657000.0,42100.0,7.0,3.5,Yes
C0249,49.0,Male,Multan,Bachelor,Employed,5.0,287000.0,11000.0,1.0,15.2,No
C0338,33.0,Female,Karachi,Bachelor,Unemployed,21.0,608000.0,41900.0,7.0,8.8,No
C0391,41.0,Female,Multan,High School,Employed,4.0,710000.0,12200.0,9.0,21.4,Yes
C0354,29.0,Female,Peshawar,Master,Self-employed,,739000.0,42800.0,1.0,9.1,No
C0234,,Male,Lahore,Bachelor,Self-employed,21.0,454000.0,66300.0,6.0,23.3,Yes
C0004,32.0,Male,Islamabad,Master,Employed,17.0,991000.0,29500.0,9.0,13.1,Yes
C0019,39.0,Male,Peshawar,Master,Employed,16.0,844000.0,34200.0,2.0,26.6,Yes
C0132,50.0,Female,Lahore,High School,Student,16.0,573000.0,38000.0,1.0,21.0,Yes
C0119,52.0,Male,Karachi,High School,Self-employed,13.0,1245000.0,47800.0,5.0,27.5,Yes
C0327,52.0,Female,Karachi,Master,Employed,17.0,523000.0,27400.0,8.0,10.3,Yes
C0064,25.0,Male,Multan,Master,Employed,21.0,564000.0,38200.0,10.0,22.3,Yes
C0251,28.0,Male,Islamabad,PhD,Employed,,802000.0,,8.0,13.7,Yes
C0212,68.0,Female,Karachi,Master,Self-employed,2.0,301000.0,38500.0,8.0,24.4,No
C0381,,Female,Karachi,Bachelor,Employed,13.0,528000.0,41900.0,2.0,16.3,No
C0094,62.0,Male,Multan,High School,Student,9.0,,76400.0,9.0,23.5,No
C0375,65.0,Female,Islamabad,Bachelor,Employed,12.0,614000.0,47600.0,,15.8,No
C0109,,Female,Lahore,Bachelor,Employed,9.0,1024000.0,47400.0,6.0,16.3,No
C0395,70.0,Male,Peshawar,Master,Student,3.0,926000.0,42500.0,6.0,17.5,No
C0223,66.0,Male,Peshawar,Master,Employed,1.0,776000.0,58700.0,7.0,15.8,No
C0182,45.0,Female,Karachi,High School,Unemployed,10.0,1035000.0,31100.0,6.0,11.9,No
C0247,,Male,Multan,Bachelor,Employed,30.0,946000.0,28600.0,4.0,18.5,Yes
C0377,21.0,Male,Islamabad,Bachelor,Unemployed,20.0,800000.0,26600.0,3.0,24.8,No
C0337,52.0,Male,Karachi,Bachelor,Employed,27.0,345000.0,45000.0,5.0,14.3,Yes
C0219,41.0,Female,Peshawar,PhD,Employed,13.0,1342000.0,18300.0,10.0,1.0,Yes
C0076,21.0,Male,Peshawar,Master,Self-employed,8.0,624000.0,-5000.0,1.0,27.3,No
C0111,18.0,Male,Lahore,PhD,Employed,16.0,908000.0,25100.0,4.0,6.2,Yes
C0114,41.0,Female,Multan,Bachelor,Employed,22.0,761000.0,,,22.4,No
C0017,41.0,Female,Multan,Bachelor,Employed,16.0,1298000.0,50800.0,7.0,8.8,No
C0067,31.0,Female,Lahore,Master,Student,5.0,,44900.0,6.0,10.4,No
C0221,69.0,Female,Islamabad,Master,Employed,26.0,873000.0,42500.0,4.0,14.6,Yes
C0008,56.0,Male,Peshawar,Bachelor,Employed,20.0,1218000.0,34200.0,2.0,25.7,No
C0020,70.0,Male,Islamabad,High School,Employed,27.0,626000.0,39300.0,7.0,30.2,Yes
C0177,30.0,Female,Multan,Bachelor,Employed,22.0,1063000.0,5000.0,1.0,4.4,No
C0358,63.0,Male,Islamabad,Bachelor,Student,4.0,761000.0,12500.0,10.0,22.8,Yes
C0352,50.0,Male,Lahore,Bachelor,Self-employed,27.0,817000.0,22900.0,1.0,23.6,No
C0298,65.0,Male,Islamabad,High School,Employed,17.0,788000.0,45300.0,5.0,15.6,No
C0297,43.0,Female,Multan,Bachelor,Student,29.0,840000.0,28900.0,2.0,5.6,Yes
C0295,24.0,Male,Multan,Master,Student,23.0,507000.0,35200.0,8.0,27.6,No
C0390,54.0,Female,Karachi,Master,Employed,9.0,999000.0,33900.0,4.0,12.6,No
C0300,66.0,Male,Multan,PhD,Employed,30.0,285000.0,43800.0,2.0,10.9,No
C0061,64.0,Male,Karachi,High School,Employed,-3.0,656000.0,23100.0,9.0,5.8,Yes
C0080,61.0,Male,Islamabad,Bachelor,Self-employed,2.0,419000.0,39200.0,10.0,23.2,No
C0288,42.0,Male,Peshawar,High School,Student,15.0,856000.0,50100.0,9.0,19.8,Yes
C0226,,Male,Lahore,Bachelor,Employed,12.0,797000.0,16100.0,4.0,2.3,No
C0259,39.0,Female,Karachi,Master,Employed,9.0,1420000.0,62100.0,9.0,12.5,No
C0159,59.0,Male,Multan,Master,Employed,21.0,955000.0,40600.0,9.0,16.7,Yes
C0110,41.0,Female,Lahore,High School,Self-employed,14.0,948000.0,,9.0,22.5,No
C0018,20.0,Female,Multan,High School,Student,,,38300.0,,18.5,No
C0235,19.0,Female,Peshawar,High School,Employed,11.0,666000.0,10900.0,6.0,1.2,Yes
C0025,55.0,Female,Peshawar,Master,Employed,4.0,870000.0,32000.0,8.0,20.8,Yes
C0324,55.0,Female,Karachi,Master,Employed,16.0,351000.0,52900.0,3.0,27.2,No
C0149,18.0,Male,Multan,High School,Employed,29.0,1026000.0,39900.0,4.0,4.1,Yes
C0248,23.0,Male,Lahore,Bachelor,Self-employed,22.0,1252000.0,43800.0,5.0,21.6,No
C0158,43.0,Female,Islamabad,High School,Employed,21.0,904000.0,47300.0,9.0,15.3,No
C0166,49.0,Female,Karachi,Bachelor,Employed,17.0,1420000.0,44600.0,5.0,17.0,Yes
C0254,41.0,Male,Islamabad,High School,Employed,3.0,624000.0,25100.0,9.0,11.2,No
C0380,34.0,Female,Islamabad,Bachelor,Employed,2.0,1074000.0,46700.0,8.0,24.5,No
C0120,52.0,Male,Peshawar,High School,Employed,27.0,815000.0,32900.0,6.0,27.4,No
C0197,56.0,Male,Lahore,Bachelor,Employed,24.0,1135000.0,16400.0,6.0,8.7,Yes
C0220,58.0,Other,Islamabad,PhD,Employed,6.0,1073000.0,38700.0,9.0,6.2,No
C0287,45.0,Male,Islamabad,High School,Unemployed,4.0,820000.0,7000.0,6.0,37.3,Yes
C0153,56.0,Male,Islamabad,Master,Employed,13.0,888000.0,50600.0,9.0,25.5,No
C0336,19.0,Female,Peshawar,Master,Employed,24.0,787000.0,17800.0,1.0,8.0,Yes
C0037,33.0,Other,Islamabad,Master,Employed,12.0,630000.0,23400.0,8.0,13.0,No
C0140,39.0,Female,Multan,Master,Student,16.0,843000.0,44000.0,10.0,22.0,Yes
C0382,45.0,Female,Multan,Bachelor,Employed,25.0,922000.0,,3.0,24.9,No
C0378,52.0,Male,Multan,Master,Student,18.0,708000.0,18500.0,5.0,28.0,No
C0199,18.0,Female,Lahore,Master,Employed,14.0,819000.0,37500.0,7.0,6.6,Yes
C0228,20.0,Male,Islamabad,Master,Employed,19.0,1015000.0,42000.0,7.0,20.8,No
C0060,45.0,Female,Multan,Master,Self-employed,25.0,1262000.0,32800.0,9.0,23.6,Yes
C0112,61.0,Female,Lahore,High School,Employed,7.0,744000.0,30400.0,2.0,19.1,No
C0356,39.0,Female,Karachi,PhD,Employed,25.0,1330000.0,,3.0,5.6,Yes
C0176,53.0,Female,Peshawar,Bachelor,Student,18.0,,20100.0,10.0,16.2,Yes
C0007,38.0,Female,Multan,Master,Self-employed,7.0,1080000.0,,7.0,28.3,No
C0291,48.0,Male,Multan,Bachelor,Employed,19.0,1136000.0,5400.0,4.0,12.8,Yes
C0278,69.0,Male,Multan,Bachelor,Unemployed,19.0,554000.0,31300.0,9.0,16.4,No
C0151,43.0,Female,Islamabad,Bachelor,Student,13.0,1111000.0,44300.0,9.0,11.5,Yes
C0011,28.0,Mle,Islamabad,High School,Unemployed,22.0,587000.0,,3.0,20.1,Yes
C0195,45.0,Female,Islamabad,Bachelor,Student,11.0,8500000.0,36500.0,1.0,19.9,Yes
C0104,32.0,Female,Lahore,High School,Employed,30.0,978000.0,51800.0,3.0,14.1,No
C0082,27.0,Male,Karachi,Bachelor,Self-employed,3.0,650000.0,15400.0,9.0,19.0,No
C0209,26.0,Female,Karachi,Bachelor,Self-employed,0.0,150000.0,32400.0,10.0,27.0,Yes
C0363,68.0,Female,Multan,Bachelor,Student,17.0,818000.0,64900.0,8.0,11.3,No
C0379,66.0,Male,Peshawar,Master,Unemployed,9.0,256000.0,41600.0,9.0,33.3,No
C0211,50.0,Female,Karachi,Bachelor,Employed,7.0,654000.0,35300.0,10.0,14.7,Yes
C0292,47.0,Female,Karachi,Bachelor,Student,3.0,,800000.0,7.0,18.0,No
C0384,46.0,Female,Islamabad,High School,Student,4.0,574000.0,45000.0,8.0,22.1,No
C0168,47.0,Male,Karachi,Master,Employed,28.0,558000.0,44000.0,4.0,14.1,Yes
C0090,40.0,Female,Lahore,High School,Employed,22.0,596000.0,20400.0,7.0,13.2,Yes
C0194,28.0,Male,Lahore,PhD,Employed,,365000.0,26400.0,10.0,20.3,Yes
C0164,66.0,Male,Islamabad,Bachelor,Employed,28.0,778000.0,59600.0,7.0,18.6,Yes
C0148,20.0,Female,Peshawar,Bachelor,Employed,,772000.0,56800.0,3.0,24.1,Yes
C0355,68.0,Male,Multan,High School,Employed,8.0,772000.0,41300.0,9.0,4.3,Yes
C0093,33.0,Female,Islamabad,Bachelor,Self-employed,17.0,750000.0,50900.0,4.0,8.4,Yes
C0070,67.0,Male,Lahore,High School,Student,27.0,,23600.0,9.0,17.5,No
C0124,56.0,Female,Islamabad,PhD,Employed,21.0,843000.0,26300.0,6.0,7.8,Yes
C0097,70.0,Male,Islamabad,PhD,Employed,11.0,1469000.0,34600.0,3.0,26.6,Yes
C0144,52.0,Female,Multan,PhD,Unemployed,17.0,1206000.0,16700.0,10.0,15.5,Yes
C0306,54.0,Female,Peshawar,High School,Student,13.0,,15000.0,,13.1,No
C0098,41.0,Male,Islamabad,Bachelor,Self-employed,26.0,530000.0,8500.0,4.0,34.2,No
C0233,66.0,Female,Lahore,Bachelor,Student,25.0,627000.0,22500.0,1.0,8.1,No
C0069,53.0,Male,Lahore,High School,Self-employed,15.0,762000.0,10900.0,5.0,14.3,Yes
C0024,47.0,Male,Multan,Bachelor,Employed,18.0,766000.0,36300.0,4.0,17.1,No
C0038,32.0,Female,Multan,Master,Unemployed,18.0,607000.0,41100.0,1.0,9.9,No
C0145,54.0,Female,Multan,Master,Employed,20.0,711000.0,27400.0,2.0,4.8,No
C0123,59.0,Male,Peshawar,High School,Employed,17.0,1239000.0,39000.0,8.0,18.0,Yes
C0203,58.0,Male,Multan,PhD,Employed,15.0,572000.0,31700.0,5.0,2.9,Yes
C0183,19.0,Female,Lahore,Master,Employed,,569000.0,35300.0,3.0,14.9,Yes
C0068,34.0,Male,Multan,Bachelor,Employed,14.0,774000.0,49100.0,10.0,29.5,No
C0398,50.0,Female,Peshawar,Master,Employed,6.0,879000.0,600000.0,3.0,16.8,Yes
C0351,34.0,Male,Multan,Bachelor,Student,13.0,,,5.0,22.5,Yes
C0328,65.0,Female,Islamabad,Master,Employed,30.0,727000.0,33800.0,10.0,10.2,No
C0362,62.0,Female,Peshawar,High School,Employed,9.0,961000.0,38800.0,8.0,14.1,Yes
C0229,66.0,Male,Karachi,Bachelor,Employed,3.0,863000.0,49800.0,3.0,20.1,No
C0126,45.0,Female,Multan,Master,Employed,29.0,699000.0,33000.0,2.0,26.6,Yes
C0147,31.0,Female,Peshawar,Bachelor,Employed,29.0,935000.0,,2.0,19.2,Yes
C0238,54.0,Male,Peshawar,High School,Self-employed,13.0,642000.0,35100.0,1.0,21.2,No
C0087,120.0,Male,Peshawar,Bachelor,Unemployed,8.0,870000.0,38100.0,6.0,17.2,No
C0339,,Male,Multan,Bachelor,Employed,12.0,1139000.0,9100.0,8.0,9.2,No
C0322,25.0,Male,Peshawar,Master,Employed,29.0,325000.0,18900.0,1.0,6.3,No
C0347,37.0,Female,Peshawar,PhD,Self-employed,26.0,708000.0,26000.0,7.0,24.6,No
C0204,20.0,Male,Karachi,Bachelor,Employed,7.0,922000.0,,9.0,14.8,No
C0262,33.0,Female,Lahore,High School,Unemployed,2.0,396000.0,15600.0,5.0,22.3,No
C0305,22.0,Female,Multan,Bachelor,Self-employed,30.0,1230000.0,21500.0,10.0,29.4,Yes
C0184,59.0,Male,Islamabad,High School,Employed,28.0,1176000.0,43200.0,4.0,13.4,No
C0343,50.0,Male,Islamabad,High School,Employed,3.0,842000.0,28000.0,5.0,4.8,Yes
C0286,28.0,Male,Islamabad,Bachelor,Employed,23.0,1273000.0,26000.0,9.0,9.1,Yes
C0303,65.0,Male,Karachi,Bachelor,Employed,18.0,898000.0,,1.0,27.8,Yes
C0285,,Female,Karachi,Bachelor,Unemployed,2.0,523000.0,56300.0,3.0,13.2,No
C0130,29.0,Female,Multan,Master,Employed,18.0,740000.0,53500.0,4.0,9.8,No
C0039,64.0,Female,Peshawar,High School,Employed,23.0,910000.0,20400.0,2.0,11.9,Yes
C0012,28.0,Male,Islamabad,Master,Employed,1.0,602000.0,,9.0,30.1,No
C0273,20.0,Female,Multan,Master,Employed,13.0,6500000.0,,6.0,12.8,No
C0186,70.0,Male,Lahore,Master,Employed,23.0,1092000.0,51700.0,3.0,8.9,Yes
C0239,49.0,Male,Peshawar,High School,Unemployed,24.0,428000.0,32100.0,10.0,7.7,Yes
C0113,25.0,Female,Karachi,Master,Employed,17.0,952000.0,14800.0,4.0,26.9,Yes
C0180,68.0,Female,Lahore,Master,Employed,12.0,772000.0,46800.0,10.0,26.4,Yes
C0272,43.0,Female,Karachi,Bachelor,Self-employed,5.0,1119000.0,28200.0,9.0,17.8,No
C0263,50.0,Female,Multan,Master,Employed,25.0,309000.0,20700.0,4.0,20.4,No
C0118,25.0,Male,Islamabad,High School,Self-employed,26.0,1192000.0,37900.0,10.0,12.8,No
C0372,64.0,Female,Karachi,High School,Employed,5.0,1000000.0,42500.0,7.0,16.1,No
C0319,69.0,Female,Islamabad,High School,Employed,15.0,810000.0,41600.0,8.0,22.0,Yes
C0388,52.0,Female,Islamabad,High School,Employed,16.0,1438000.0,47700.0,8.0,17.2,Yes
C0290,40.0,Male,Multan,Bachelor,Unemployed,22.0,920000.0,,7.0,25.1,No
C0366,44.0,Male,Karachi,Master,Employed,10.0,512000.0,32300.0,6.0,31.7,No
C0165,69.0,Male,Peshawar,Bachelor,Self-employed,12.0,1052000.0,21500.0,1.0,27.5,No
C0256,69.0,Male,Karachi,High School,Student,28.0,,35300.0,10.0,21.7,Yes
C0137,52.0,Male,Islamabad,Bachelor,Employed,29.0,1149000.0,32900.0,10.0,22.2,No
C0155,26.0,Male,Peshawar,High School,Self-employed,22.0,550000.0,45100.0,3.0,20.7,No
C0200,44.0,Male,Karachi,High School,Self-employed,7.0,799000.0,,1.0,24.3,Yes
C0198,50.0,Female,Multan,Bachelor,Employed,4.0,1363000.0,13000.0,9.0,18.1,No
C0396,48.0,Male,Islamabad,Bachelor,Unemployed,29.0,990000.0,35700.0,4.0,21.6,No
C0003,46.0,Female,Peshawar,Bachelor,Employed,9.0,669000.0,44300.0,10.0,16.5,No
C0205,56.0,Male,Lahore,Bachelor,Self-employed,0.0,1143000.0,11000.0,2.0,8.5,Yes
C0116,68.0,Female,Islamabad,Bachelor,Employed,24.0,1245000.0,48100.0,10.0,30.8,No
C0269,37.0,Male,Peshawar,High School,Employed,6.0,705000.0,16200.0,1.0,12.3,Yes
C0240,50.0,Male,Multan,Bachelor,Self-employed,1.0,825000.0,29600.0,5.0,20.3,No
C0027,38.0,Male,Peshawar,Master,Self-employed,0.0,381000.0,32100.0,1.0,22.3,Yes
C0121,50.0,Male,Multan,Master,Employed,25.0,213000.0,40900.0,3.0,22.5,Yes
C0385,63.0,Male,Islamabad,Bachelor,Employed,28.0,150000.0,18600.0,6.0,19.4,Yes
C0225,29.0,Female,Lahore,High School,Employed,15.0,1501000.0,22800.0,8.0,13.8,No
C0246,43.0,Male,Islamabad,Master,Unemployed,18.0,624000.0,31000.0,3.0,16.5,No
C0330,,Male,Lahore,Master,Employed,16.0,786000.0,27700.0,,26.3,Yes
C0318,41.0,Female,Peshawar,High School,Employed,18.0,928000.0,38000.0,6.0,8.4,Yes
C0201,69.0,Female,Peshawar,Master,Self-employed,9.0,871000.0,37600.0,,11.2,Yes
C0128,26.0,Male,Lahore,High School,Employed,20.0,1014000.0,48900.0,1.0,24.9,Yes
C0075,59.0,Female,Multan,Master,Student,24.0,,31000.0,9.0,8.1,No
C0325,57.0,Female,Islamabad,High School,Employed,22.0,1160000.0,8300.0,3.0,20.7,Yes
C0030,39.0,Female,Peshawar,Master,Student,7.0,474000.0,5000.0,1.0,20.5,No
C0084,31.0,Male,Islamabad,PhD,Self-employed,3.0,1174000.0,37800.0,2.0,11.5,No
C0333,35.0,Male,Lahore,High School,Employed,26.0,1243000.0,18700.0,6.0,17.1,No
C0108,24.0,Female,Lahore,Bachelor,Employed,10.0,1627000.0,37300.0,1.0,19.3,No
C0317,50.0,Male,Multan,Master,Employed,3.0,937000.0,5000.0,3.0,12.4,No
C0299,69.0,Female,Peshawar,High School,Employed,18.0,811000.0,36600.0,6.0,20.0,No
C0134,40.0,Male,Karachi,High School,Self-employed,20.0,753000.0,30300.0,4.0,32.6,Yes
C0245,61.0,Male,Islamabad,Bachelor,Self-employed,15.0,757000.0,13600.0,3.0,21.0,Yes
C0185,62.0,Male,Multan,Bachelor,Student,0.0,,17300.0,8.0,29.0,Yes
C0293,59.0,Female,Karachi,Bachelor,Employed,23.0,666000.0,16800.0,1.0,18.5,Yes
C0045,68.0,Female,Lahore,Master,Employed,20.0,903000.0,45900.0,7.0,19.8,Yes
C0371,45.0,Female,Peshawar,PhD,Student,12.0,1041000.0,38500.0,9.0,8.3,No
C0066,52.0,Male,Peshawar,Bachelor,Employed,9.0,1337000.0,22700.0,,24.1,Yes
C0086,65.0,Other,Lahore,Bachelor,Self-employed,8.0,1234000.0,53600.0,10.0,20.5,Yes
C0243,,Female,Multan,PhD,Employed,19.0,875000.0,5000.0,3.0,21.5,No
C0187,23.0,Female,Islamabad,High School,Student,2.0,960000.0,,10.0,15.0,Yes
C0160,30.0,Female,Peshawar,Bachelor,Self-employed,10.0,997000.0,21500.0,10.0,19.7,No
C0013,41.0,Male,Multan,Master,Employed,7.0,782000.0,26100.0,5.0,29.2,Yes
C0036,,Male,Karachi,High School,Employed,0.0,1199000.0,49200.0,6.0,25.5,No
C0029,29.0,Male,Islamabad,Bachelor,Student,,,43900.0,5.0,24.3,No
C0171,56.0,Male,Peshawar,Master,Employed,19.0,198000.0,35600.0,5.0,12.7,No
C0143,18.0,Female,Peshawar,Master,Employed,,496000.0,26700.0,1.0,9.2,Yes
C0321,66.0,Female,Karachi,Bachelor,Unemployed,3.0,1088000.0,53500.0,9.0,23.6,Yes
C0275,37.0,Male,Lahore,High School,Employed,27.0,204000.0,28400.0,3.0,17.4,Yes
C0222,66.0,Male,Lahore,High School,Student,26.0,,,6.0,26.3,Yes
C0096,64.0,Female,Multan,High School,Employed,3.0,977000.0,27400.0,4.0,23.0,No
C0052,42.0,Female,Islamabad,Master,Student,19.0,1121000.0,,7.0,9.2,Yes
C0241,18.0,Male,Lahore,Bachelor,Self-employed,20.0,399000.0,32300.0,2.0,10.7,No
C0312,65.0,Female,Peshawar,High School,Student,29.0,1126000.0,34800.0,9.0,18.9,No
C0389,58.0,Male,Islamabad,Master,Student,20.0,481000.0,30600.0,4.0,19.2,No
C0179,24.0,Other,Karachi,High School,Self-employed,11.0,1004000.0,71200.0,7.0,13.1,No
C0042,69.0,Male,Peshawar,High School,Unemployed,16.0,869000.0,47900.0,6.0,16.7,No
C0313,33.0,Other,Multan,Bachelor,Employed,25.0,1150000.0,16200.0,10.0,12.9,No
C0207,25.0,Female,Peshawar,High School,Unemployed,4.0,907000.0,33500.0,5.0,22.3,No
C0255,22.0,Male,Karachi,High School,Self-employed,14.0,754000.0,41400.0,5.0,21.2,Yes
